,,"Note: 233.94562279667977, Velocity: 3.1949710845947266, Start Time: 0.0, End Time: 0.4876190476190476","Note: 234.04850901559516, Velocity: 4.137460231781006, Start Time: 0.4963265306122449, End Time: 0.7430385487528345","Note: 208.40240997048613, Velocity: 5.365992069244385, Start Time: 0.7459410430839003, End Time: 1.4947845804988662","Note: 233.87854211980806, Velocity: 3.1778712272644043, Start Time: 1.497687074829932, End Time: 2.2291156462585033","Note: 311.5957057623962, Velocity: 7.389853477478027, Start Time: 2.2378231292517006, End Time: 2.9837641723356008","Note: 294.5318308476789, Velocity: 6.526586532592773, Start Time: 2.9895691609977324, End Time: 4.481451247165532","Note: 233.94441492245366, Velocity: 3.1955511569976807, Start Time: 4.493061224489796, End Time: 4.9806802721088435","Note: 234.0608249108519, Velocity: 4.314480781555176, Start Time: 4.986485260770975, End Time: 5.239002267573696","Note: 261.9849102295163, Velocity: 10.1153564453125, Start Time: 5.247709750566893, End Time: 5.979138321995465","Note: 233.91575562491724, Velocity: 3.195521354675293, Start Time: 5.990748299319727, End Time: 6.745396825396825","Note: 349.66607977557493, Velocity: 9.337410926818848, Start Time: 6.748299319727891, End Time: 7.5029478458049885","Note: 311.9842907989609, Velocity: 9.116890907287598, Start Time: 7.505850340136054, End Time: 8.986122448979593","Note: 233.94368892765394, Velocity: 3.194979667663574, Start Time: 8.997732426303855, End Time: 9.485351473922902","Note: 234.04360969057493, Velocity: 4.427818298339844, Start Time: 9.494058956916101, End Time: 9.743673469387756","Note: 467.58697546425697, Velocity: 16.832612991333008, Start Time: 9.746575963718822, End Time: 10.48671201814059","Note: 392.4821340691978, Velocity: 8.311223983764648, Start Time: 10.501224489795918, End Time: 11.238458049886622","Note: 311.57816752850204, Velocity: 6.735163688659668, Start Time: 11.244263038548754, End Time: 11.981496598639456","Note: 294.0345573202151, Velocity: 6.608745098114014, Start Time: 11.987301587301587, End Time: 12.736145124716554","Note: 262.02389692000224, Velocity: 9.426891326904297, Start Time: 12.74485260770975, End Time: 13.479183673469388","Note: 416.59597642736253, Velocity: 7.498983860015869, Start Time: 13.484988662131519, End Time: 13.987120181405896","Note: 416.82852056689336, Velocity: 9.481775283813477, Start Time: 13.990022675736961, End Time: 14.239637188208617","Note: 392.70038683591116, Velocity: 8.3158597946167, Start Time: 14.242539682539682, End Time: 14.988480725623583","Note: 311.5696594080115, Velocity: 6.734697341918945, Start Time: 14.994285714285715, End Time: 15.731519274376417","Note: 349.6545143544143, Velocity: 8.018167495727539, Start Time: 15.740226757369616, End Time: 16.50068027210884","Note: 311.994244099404, Velocity: 9.121176719665527, Start Time: 16.50358276643991, End Time: 18.427936507936508"
"Note: 311.1269837220808, Velocity: 90, Start Time: 7.5, End Time: 9.0",-36,-31,-26,-27,-22,-17,-12,-7,-2,3,8,13,18,14,10,6,2,-2,-6,-10,-14,-18,-22,-26,-30,-34
"Note: 233.08188075904488, Velocity: 90, Start Time: 9.0, End Time: 9.5",-39,-34,-29,-30,-25,-20,-15,-10,-5,0,5,10,15,20,16,12,8,4,0,-4,-8,-12,-16,-20,-24,-28
"Note: 233.08188075904488, Velocity: 90, Start Time: 9.5, End Time: 9.75",-42,-37,-32,-33,-28,-23,-18,-13,-8,-3,2,7,12,17,22,18,14,10,6,2,-2,-6,-10,-14,-18,-22
"Note: 466.1637615180899, Velocity: 90, Start Time: 9.75, End Time: 10.5",-45,-40,-35,-36,-31,-26,-21,-16,-11,-6,-1,4,9,14,19,24,20,16,12,8,4,0,-4,-8,-12,-16
"Note: 391.99543598174927, Velocity: 90, Start Time: 10.5, End Time: 11.25",-48,-43,-38,-39,-34,-29,-24,-19,-14,-9,-4,1,6,11,16,21,26,22,18,14,10,6,2,-2,-6,-10
"Note: 311.1269837220808, Velocity: 90, Start Time: 11.25, End Time: 12.0",-51,-46,-41,-42,-37,-32,-27,-22,-17,-12,-7,-2,3,8,13,18,23,28,24,20,16,12,8,4,0,-4
"Note: 293.66476791740746, Velocity: 90, Start Time: 12.0, End Time: 12.75",-54,-49,-44,-45,-40,-35,-30,-25,-20,-15,-10,-5,0,5,10,15,20,25,30,26,22,18,14,10,6,2
"Note: 261.6255653005985, Velocity: 90, Start Time: 12.75, End Time: 13.5",-57,-52,-47,-48,-43,-38,-33,-28,-23,-18,-13,-8,-3,2,7,12,17,22,27,32,28,24,20,16,12,8
"Note: 415.3046975799451, Velocity: 90, Start Time: 13.5, End Time: 14.0",-60,-55,-50,-51,-46,-41,-36,-31,-26,-21,-16,-11,-6,-1,4,9,14,19,24,29,34,30,26,22,18,14
"Note: 415.3046975799451, Velocity: 90, Start Time: 14.0, End Time: 14.25",-63,-58,-53,-54,-49,-44,-39,-34,-29,-24,-19,-14,-9,-4,1,6,11,16,21,26,31,36,32,28,24,20
"Note: 391.99543598174927, Velocity: 90, Start Time: 14.25, End Time: 15.0",-66,-61,-56,-57,-52,-47,-42,-37,-32,-27,-22,-17,-12,-7,-2,3,8,13,18,23,28,33,38,34,30,26
"Note: 311.1269837220808, Velocity: 90, Start Time: 15.0, End Time: 15.75",-69,-64,-59,-60,-55,-50,-45,-40,-35,-30,-25,-20,-15,-10,-5,0,5,10,15,20,25,30,35,40,36,32
"Note: 349.2282314330038, Velocity: 90, Start Time: 15.75, End Time: 16.5",-72,-67,-62,-63,-58,-53,-48,-43,-38,-33,-28,-23,-18,-13,-8,-3,2,7,12,17,22,27,32,37,42,38
"Note: 311.1269837220808, Velocity: 90, Start Time: 16.5, End Time: 18.0",-75,-70,-65,-66,-61,-56,-51,-46,-41,-36,-31,-26,-21,-16,-11,-6,-1,4,9,14,19,24,29,34,39,38
